
name,country,zone,fuel,tech,commissioned,capacity_mw,eta,scale,scaled_capacity_mw,fuel_std,tech_std
Pont-sur-Sambre,FR,FR,gas,CCGT,2019.0,412.0,0.58,1.9593483784187715,807.2515319085338,gas,ccgt
SPEM,FR,FR,gas,CCGT,2010.0,435.0,0.58,1.9593483784187715,852.3165446121656,gas,ccgt
CORDEMAIS 4,FR,FR,hardcoal,Hardcoal,,580.0,0.4,0.6177474402730375,358.2935153583618,hardcoal,steam_turbine
CORDEMAIS 5,FR,FR,hardcoal,Hardcoal,,580.0,0.4,0.6177474402730375,358.2935153583618,hardcoal,steam_turbine
EMILE HUCHET 6,FR,FR,hardcoal,Hardcoal,1981.0,595.0,0.37,0.6177474402730375,367.5597269624573,hardcoal,steam_turbine
HAVRE 4,FR,FR,hardcoal,Hardcoal,,580.0,0.4,0.6177474402730375,358.2935153583618,hardcoal,steam_turbine
PROVENCE 5,FR,FR,hardcoal,Hardcoal,1984.0,595.0,0.37,0.6177474402730375,367.5597269624573,hardcoal,steam_turbine
ARRIGHI 1,FR,FR,oil,Oil,,125.0,0.36,1.853658536585366,231.70731707317077,oil,oil_steam_or_gt
ARRIGHI 2,FR,FR,oil,Oil,,129.0,0.36,1.853658536585366,239.1219512195122,oil,oil_steam_or_gt
BRENNILIS 1,FR,FR,oil,Oil,,85.0,0.36,1.853658536585366,157.5609756097561,oil,oil_steam_or_gt
BRENNILIS 2,FR,FR,oil,Oil,,85.0,0.36,1.853658536585366,157.5609756097561,oil,oil_steam_or_gt
BRENNILIS 3,FR,FR,oil,Oil,,134.0,0.36,1.853658536585366,248.39024390243904,oil,oil_steam_or_gt
DIRINON 1,FR,FR,oil,Oil,,85.0,0.36,1.853658536585366,157.5609756097561,oil,oil_steam_or_gt
DIRINON 2,FR,FR,oil,Oil,,85.0,0.36,1.853658536585366,157.5609756097561,oil,oil_steam_or_gt
MONTEREAU 5,FR,FR,oil,Oil,,185.0,0.36,1.853658536585366,342.9268292682927,oil,oil_steam_or_gt
MONTEREAU 6,FR,FR,oil,Oil,,185.0,0.36,1.853658536585366,342.9268292682927,oil,oil_steam_or_gt
